,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
221462.0,111300.0,Martin Sinkovi,M,26.0,188.0,95.0,Croatia,CRO,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
221464.0,111301.0,Valent Sinkovi,M,28.0,187.0,93.0,Croatia,CRO,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
224775.0,112904.0,Franck Robert Bernard Solforosi,M,31.0,184.0,70.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
230399.0,115643.0,Are Weierholt Strandli,M,27.0,181.0,69.0,Norway,NOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
233799.0,117258.0,Ondej Synek,M,33.0,199.0,105.0,Czech Republic,CZE,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Bronze
234967.0,117835.0,Kaspar Taimsoo,M,29.0,194.0,95.0,Estonia,EST,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
242890.0,121635.0,Lucas Tramr,M,26.0,183.0,75.0,Switzerland,SUI,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
243432.0,121915.0,"Andrew ""Andy"" Triggs Hodge",M,37.0,192.0,97.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
244737.0,122530.0,Olaf Karl Tufte,M,40.0,193.0,94.0,Norway,NOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Bronze
246036.0,123195.0,Dirk Uittenbogaard,M,26.0,199.0,93.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
251892.0,126144.0,"Pieter Gilles ""Mechiel"" Versluis",M,29.0,197.0,95.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
252281.0,126330.0,Giuseppe Vicino,M,23.0,195.0,95.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
258859.0,129601.0,Phillipp Wende,M,31.0,199.0,90.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
260260.0,130259.0,Peter Noel Jan Wiersum,M,31.0,173.0,55.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
260338.0,130298.0,Tone Wieten,M,22.0,201.0,102.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
261973.0,131072.0,Kasper Winther Jrgensen,M,31.0,182.0,73.0,Denmark,DEN,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
